"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRZ1",0,2.65672446686728,0.922,0.122,0,"0","PTPRZ1"
"TNC",0,5.02859020609945,0.841,0.067,0,"0","TNC"
"SPARCL1",0,3.26351560924452,0.865,0.108,0,"0","SPARCL1"
"MEG3",0,1.84489052943803,0.893,0.136,0,"0","MEG3"
"GPM6A",0,2.1917152828683,0.878,0.122,0,"0","GPM6A"
"NRCAM",0,2.91387927419895,0.863,0.108,0,"0","NRCAM"
"CHL1",0,2.68221653391528,0.85,0.096,0,"0","CHL1"
"GAP43",0,2.44338494496141,0.899,0.15,0,"0","GAP43"
"EGFR",0,3.17135990495113,0.826,0.087,0,"0","EGFR"
"C1R",0,3.44218319143201,0.838,0.1,0,"0","C1R"
"ID4",0,3.59444256252246,0.863,0.133,0,"0","ID4"
"IGFBP7",0,1.97591483373472,0.864,0.139,0,"0","IGFBP7"
"CCN1",0,2.9711037393171,0.853,0.13,0,"0","CCN1"
"AQP4",0,4.44164053049638,0.781,0.06,0,"0","AQP4"
"F3",0,3.59509830629781,0.827,0.107,0,"0","F3"
"TCIM",0,4.03048978196975,0.794,0.077,0,"0","TCIM"
"CNN3",0,3.04128535319228,0.967,0.253,0,"0","CNN3"
"IGFBP2",0,1.79032469603929,0.905,0.197,0,"0","IGFBP2"
"C1S",0,3.27740973416673,0.764,0.059,0,"0","C1S"
"RCN1",0,2.66518763251469,0.855,0.15,0,"0","RCN1"
"COL6A1",0,2.45361774152034,0.791,0.088,0,"0","COL6A1"
"PDLIM4",0,2.76069269366439,0.785,0.087,0,"0","PDLIM4"
"FABP7",0,2.03047557388175,0.88,0.182,0,"0","FABP7"
"TIMP3",0,2.78611033049363,0.762,0.067,0,"0","TIMP3"
"NOVA1",0,2.05401957644108,0.958,0.265,0,"0","NOVA1"
"ACTN1",0,2.65807346676604,0.886,0.195,0,"0","ACTN1"
"MGST1",0,3.58839303516349,0.775,0.085,0,"0","MGST1"
"SOX9",0,2.60468697506053,0.801,0.111,0,"0","SOX9"
"AEBP1",0,3.43595731831769,0.764,0.076,0,"0","AEBP1"
"CALD1",0,1.99327497504834,0.955,0.27,0,"0","CALD1"
"HEY1",0,3.14637640773357,0.777,0.094,0,"0","HEY1"
"DPYSL3",0,1.85937682253335,0.825,0.142,0,"0","DPYSL3"
"OLFM2",0,3.17243588838102,0.766,0.084,0,"0","OLFM2"
"FHL1",0,2.76673971222425,0.788,0.107,0,"0","FHL1"
"CHI3L2",0,4.38525371101357,0.776,0.1,0,"0","CHI3L2"
"PLOD2",0,2.79387029437351,0.801,0.126,0,"0","PLOD2"
"ITM2C",0,3.48684072489624,0.917,0.243,0,"0","ITM2C"
"GJA1",0,3.97015123726516,0.728,0.058,0,"0","GJA1"
"DCLK1",0,3.35111124952898,0.747,0.078,0,"0","DCLK1"
"TRIM47",0,3.1733625589232,0.805,0.14,0,"0","TRIM47"
"PRRX1",0,2.82718415669273,0.752,0.088,0,"0","PRRX1"
"CHPT1",0,2.31408339404639,0.829,0.167,0,"0","CHPT1"
"GPC1",0,2.61615774386419,0.816,0.158,0,"0","GPC1"
"DTNA",0,2.55297539079407,0.826,0.169,0,"0","DTNA"
"TMEM158",0,2.75097761627211,0.844,0.188,0,"0","TMEM158"
"EFEMP2",0,2.26697653360242,0.763,0.109,0,"0","EFEMP2"
"FERMT2",0,2.31327983365627,0.847,0.193,0,"0","FERMT2"
"CPE",0,3.12002585723566,0.761,0.108,0,"0","CPE"
"BCAN",0,2.92517029646525,0.746,0.096,0,"0","BCAN"
"CD320",0,1.91160512230131,0.804,0.154,0,"0","CD320"
"INAFM1",0,2.32031794802129,0.865,0.217,0,"0","INAFM1"
"BGN",0,1.46735998345128,0.723,0.075,0,"0","BGN"
"EFEMP1",0,4.3419778248786,0.694,0.046,0,"0","EFEMP1"
"WLS",0,3.07324957356497,0.747,0.101,0,"0","WLS"
"NR2F1",0,2.31999316212862,0.744,0.101,0,"0","NR2F1"
"SOX2",0,1.74099805811779,0.882,0.241,0,"0","SOX2"
"FAM3C",0,2.22719441228811,0.886,0.245,0,"0","FAM3C"
"PCSK1N",0,2.16041442207444,0.939,0.304,0,"0","PCSK1N"
"S100A16",0,2.07689728707766,0.866,0.232,0,"0","S100A16"
"NPDC1",0,2.01051562296916,0.832,0.203,0,"0","NPDC1"
"DOK5",0,3.25247541930935,0.684,0.055,0,"0","DOK5"
"VCAN",0,1.05406189618572,0.839,0.211,0,"0","VCAN"
"LTBP3",0,2.19203357927093,0.818,0.191,0,"0","LTBP3"
"MAOB",0,3.27319506034603,0.724,0.098,0,"0","MAOB"
"NES",0,2.09393796621644,0.758,0.133,0,"0","NES"
"ATP1B2",0,2.97018155480866,0.707,0.082,0,"0","ATP1B2"
"CHPF",0,2.31150412715935,0.768,0.144,0,"0","CHPF"
"PDPN",0,2.14746348814838,0.827,0.203,0,"0","PDPN"
"CAV1",0,3.11508513761156,0.763,0.141,0,"0","CAV1"
"GLIS3",0,3.39325568627324,0.688,0.066,0,"0","GLIS3"
"RAMP1",0,2.76228408641392,0.811,0.19,0,"0","RAMP1"
"SCRG1",0,2.23286440264759,0.872,0.251,0,"0","SCRG1"
"BAALC",0,1.92033060276061,0.872,0.252,0,"0","BAALC"
"WWTR1",0,1.38884016746855,0.769,0.151,0,"0","WWTR1"
"EMILIN1",0,3.53489642969673,0.681,0.064,0,"0","EMILIN1"
"PFN2",0,1.75980602577067,0.846,0.231,0,"0","PFN2"
"PALLD",0,1.78304548321207,0.743,0.129,0,"0","PALLD"
"TRIP6",0,2.34006333724427,0.756,0.143,0,"0","TRIP6"
"OCIAD2",0,2.22323609229557,0.805,0.195,0,"0","OCIAD2"
"CHI3L1",0,4.13543427078138,0.929,0.32,0,"0","CHI3L1"
"CDH11",0,3.49435384528127,0.673,0.064,0,"0","CDH11"
"GOLM1",0,1.75625992322647,0.743,0.136,0,"0","GOLM1"
"SLC16A1",0,2.23238570640433,0.792,0.186,0,"0","SLC16A1"
"TRIM9",0,2.11040244185395,0.779,0.173,0,"0","TRIM9"
"IGFBP5",0,2.00844835243772,0.744,0.138,0,"0","IGFBP5"
"CD151",0,1.96315036919347,0.901,0.296,0,"0","CD151"
"C1QL1",0,2.92921695303874,0.685,0.081,0,"0","C1QL1"
"AGT",0,2.90075257945725,0.748,0.144,0,"0","AGT"
"ID3",0,3.40375758617663,0.842,0.24,0,"0","ID3"
"GFAP",0,2.59705448103381,0.91,0.309,0,"0","GFAP"
"TPST1",0,2.38083215501798,0.806,0.206,0,"0","TPST1"
"ABCC3",0,2.4934077816648,0.711,0.111,0,"0","ABCC3"
"PGM2L1",0,1.91229152848853,0.772,0.178,0,"0","PGM2L1"
"SCG2",0,3.0043379636051,0.688,0.095,0,"0","SCG2"
"CFI",0,2.78023945924634,0.676,0.084,0,"0","CFI"
"FAM20C",0,1.98830385773567,0.86,0.27,0,"0","FAM20C"
"CDO1",0,3.16215173059136,0.655,0.066,0,"0","CDO1"
"NAT14",0,2.26290953016451,0.719,0.13,0,"0","NAT14"
"RNF19A",0,2.46281689410381,0.784,0.198,0,"0","RNF19A"
"FLNA",0,1.73202514776887,0.905,0.32,0,"0","FLNA"
"NNMT",0,3.38537125367511,0.66,0.076,0,"0","NNMT"
"CRIP2",0,1.70946563456059,0.728,0.144,0,"0","CRIP2"
"MLC1",0,3.54620048179297,0.62,0.038,0,"0","MLC1"
"FKBP10",0,2.18237850011826,0.653,0.073,0,"0","FKBP10"
"MXRA7",0,1.60738359079842,0.74,0.16,0,"0","MXRA7"
"ZNF667-AS1",0,1.73473290259775,0.734,0.154,0,"0","ZNF667-AS1"
"PMP2",0,2.84988573683169,0.918,0.34,0,"0","PMP2"
"THY1",0,2.24323902944223,0.68,0.102,0,"0","THY1"
"FADS3",0,2.30588707616718,0.715,0.14,0,"0","FADS3"
